"","year","tows","FT11_P_","FT11_P_CI_","MF_P_","MF_P_CI_","TF_P_","TF_P_CI_"
"1",1990,11,2961047,2886870,1087137,918025,4048183,2702146
"2",1991,29,1491508,1068760,647057,253271,2138565,1199315
"3",1992,37,667192,195130,859829,389374,1527021,455774
"4",1993,38,460476,223580,304666,130179,765142,256815
"5",1994,38,700447,481601,223479,107325,923926,506303
"6",1995,32,257603,118930,97336,44093,354938,130055
"7",1997,39,223738,109838,99705,70201,323443,159290
"8",1999,40,107444,47079,22788,13549,130231,50243
"9",2001,40,1634795,555504,630644,328247,2265440,769155
"10",2003,40,424736,223746,516506,332555,941242,393196
"11",2005,40,349601,213607,258566,141310,608167,284636
"12",2007,32,760869,321407,711987,380483,1472856,518408
"13",2009,43,771105,448728,1050207,622541,1821312,714539
"14",2011,43,1035740,730891,654548,390494,1690288,835235
"15",2013,43,6103293,2102140,1093875,605695,7197168,2213381
"16",2014,41,1011592,373670,811606,380555,1823198,500306
"17",2015,43,400355,209237,690873,298312,1091229,371458
"18",2017,43,374558,226429,564903,198038,939461,318317
