"","year","tows","FT11_P_","FT11_P_CI_","MF_P_","MF_P_CI_","TF_P_","TF_P_CI_"
"1",1999,4,1463,4653,45121,119290,46583,117992
"2",2001,4,104664,91733,17432,30897,122096,117820
"3",2005,4,4344,13820,26022,16046,30366,13966
"4",2007,7,11650,12936,31253,19170,42903,29478
"5",2009,7,42290,15495,37622,34539,79913,34755
"6",2011,5,21729,41117,20542,19437,42272,58123
"7",2013,5,29725,29369,1177,3266,30902,28139
"8",2014,5,41376,47340,13080,22192,54456,64332
"9",2015,5,52179,84884,41051,67046,93230,141400
"10",2017,5,0,0,10580,19415,10580,19415
