"","PROJECT_CODE","YEAR","n","P4","P3","P2","P1","LM_P_","LM_P_CI_","TM_P_","TM_P_CI_"
"45","T06",1990,11,2157963,409790,232406,242541,187937,138966,3230636,2695324
"46","T06",1991,29,832376,697768,326658,275497,134820,106043,2267119,1420647
"47","T06",1992,37,601934,319988,487459,318010,68119,39590,1795511,606398
"48","T06",1993,38,470946,118931,226671,266073,121184,39588,1203805,433640
"49","T06",1994,38,669317,79685,123373,182595,55544,23511,1110513,484107
"50","T06",1995,32,294093,41317,71749,100786,24820,15535,532765,171825
"51","T06",1997,39,209713,55957,51115,34283,11336,11048,362403,158018
"52","T06",1999,40,116969,7717,27531,16792,3677,3574,172686,64516
"53","T06",2001,40,1364121,407171,223047,59143,6626,6655,2060109,784610
"54","T06",2003,40,495341,113424,195928,94758,15882,17969,915333,360036
"55","T06",2005,40,279702,80563,142569,117450,28940,25743,649224,291641
"56","T06",2007,32,747359,201817,219781,225888,17749,14290,1412595,423048
"57","T06",2009,43,1009676,509029,256459,337161,43836,30505,2156161,883720
"58","T06",2011,43,984555,403755,537706,574852,186422,87727,2687291,1732997
"59","T06",2013,43,5986794,1024721,429215,322264,184993,74780,7947986,2332125
"60","T06",2014,41,817801,634475,421009,329437,134929,80188,2337652,647317
"61","T06",2015,43,611044,466331,609544,302250,102789,46797,2091958,882128
"62","T06",2017,43,219496,75278,253599,444370,149481,70117,1142224,290506
