"","PROJECT_CODE","YEAR","n","P4","P3","P2","P1","LM_P_","LM_P_CI_","TM_P_","TM_P_CI_"
"1","T06",1999,4,1463,0,4684,11274,22163,21000,39583,37525
"2","T06",2001,4,109773,20244,7255,12990,25852,42158,176114,186362
"3","T06",2005,4,12960,14394,43269,60472,50481,80221,181576,180302
"4","T06",2007,7,18369,17484,41431,53740,21654,18868,152679,102003
"5","T06",2009,7,31585,18626,21776,37738,30201,36304,139926,86926
"6","T06",2011,5,16694,49096,32495,60549,86682,134802,245516,409752
"7","T06",2013,5,31303,18635,15722,31423,36402,66403,133485,223501
"8","T06",2014,5,53390,21641,26249,23819,31741,37677,156840,161911
"9","T06",2015,5,48123,54094,46685,37978,31406,44898,218284,195568
"10","T06",2017,5,2346,8690,32857,48441,44283,52182,136617,144486
